Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Types_Prod_Purchased,Recency,cluster,dbscan_cluster,gmm_cluster,kmeans_cluster
1,1147,3011.97,7,373,3,-1,0,0
1,1307,3374.6499999999996,4,331,3,-1,0,2
8,536,2506.04,59,36,3,-1,0,2
3,1591,2811.43,53,22,3,-1,0,2
3,1165,2662.06,105,52,3,-1,0,2
4,1506,1313.1,70,7,3,-1,0,3
4,1127,2724.81,77,21,3,-1,0,2
5,808,1845.31,70,4,3,5,0,2
5,1532,1850.56,84,184,3,-1,0,2
6,1462,2780.66,58,15,3,-1,0,2
2,1263,2409.9,110,35,3,-1,0,2
1,1394,1635.6599999999999,85,45,3,-1,0,3
2,1818,3415.3,91,22,3,-1,0,2
5,1416,1708.1200000000001,57,49,3,-1,0,2
5,1409,2888.55,81,32,3,-1,0,2
8,1339,1859.31,96,0,3,-1,0,2
2,1180,2906.85,85,14,3,-1,0,2
3,1633,3181.04,105,44,3,-1,0,2
4,1707,3281.63,129,28,3,-1,0,2
8,1110,2484.98,46,17,3,-1,0,2
7,707,1246.1000000000001,65,15,3,-1,0,2
1,1783,2169.39,149,336,3,-1,0,0
5,1318,2056.89,84,0,3,5,0,2
5,1439,2634.26,122,79,3,-1,0,2
6,756,1933.48,51,9,3,4,0,2
3,1110,2134.01,91,5,3,-1,0,2
5,967,1315.83,72,35,3,5,0,3
2,1196,2794.51,111,21,3,-1,0,2
2,1279,2040.1,77,234,3,-1,0,3
8,1964,3023.08,84,9,3,-1,0,2
5,1049,2099.54,85,22,3,5,0,2
5,1644,3344.38,124,57,3,-1,0,2
4,1376,2291.19,82,2,3,3,0,2
3,1181,1339.41,89,14,3,6,0,3
2,1612,2683.82,74,211,3,-1,0,2
4,1162,2163.98,73,58,3,3,0,2
2,1172,1689.18,97,89,3,-1,0,3
6,1808,3344.64,11,128,3,-1,0,2
4,1084,1775.18,58,33,3,3,0,2
3,1115,2744.0299999999997,97,150,3,-1,0,2
5,1397,2996.05,58,10,3,-1,0,2
4,1133,1970.6,52,38,3,3,0,2
7,1985,2283.63,61,7,3,-1,0,2
6,1523,2863.08,117,28,3,14,0,2
8,1006,2340.84,64,7,3,-1,0,2
6,1959,2656.13,134,31,3,-1,0,2
2,1227,1898.52,62,7,3,-1,0,3
5,1086,2330.92,82,4,3,5,0,2
6,624,2225.91,76,2,3,-1,0,2
7,1058,1474.72,59,2,3,-1,0,2
4,1062,2610.36,148,59,3,-1,0,2
4,1511,2726.77,67,143,3,-1,0,2
8,781,1702.26,69,65,3,-1,0,2
6,800,1957.1000000000001,66,134,3,-1,0,2
6,1076,2170.78,155,7,3,-1,0,2
6,928,1607.0600000000002,72,185,3,-1,0,2
2,1941,2218.02,67,57,3,-1,0,3
5,1749,2919.81,55,11,3,-1,0,2
5,1280,2178.67,79,39,3,5,0,2
8,1692,3075.04,49,23,3,-1,0,2
5,1417,2453.63,37,4,3,-1,0,2
4,1083,2944.95,55,138,3,-1,0,2
5,1472,2062.7000000000003,61,35,3,-1,0,2
7,1853,2160.7,80,2,3,-1,0,2
4,1007,1504.27,81,15,3,3,0,3
6,1165,1603.99,83,143,3,-1,0,2
7,1080,2064.95,82,16,3,-1,0,2
3,1380,1843.0,13,2,3,-1,0,3
8,881,1856.63,75,8,3,-1,0,2
2,1533,1239.38,73,0,3,-1,0,3
8,820,1646.8400000000001,67,9,3,-1,0,2
5,1609,3339.64,156,53,3,-1,0,2
5,1620,975.36,32,1,3,-1,0,3
4,1228,1819.41,78,14,3,3,0,2
4,1293,1531.6200000000001,54,44,3,3,0,3
7,388,1488.67,110,31,3,-1,0,2
4,1567,2294.78,89,11,3,-1,0,2
8,945,984.91,66,21,3,-1,0,2
4,1059,1793.58,94,85,3,3,0,2
5,1328,2607.61,97,56,3,-1,0,2
5,1548,2388.75,113,84,3,-1,0,2
4,1280,1676.06,75,14,3,3,0,3
4,1439,1741.22,70,49,3,3,0,2
4,1058,1429.35,113,8,3,-1,0,3
4,1713,1688.29,73,122,3,-1,0,3
4,1224,1797.78,98,11,3,3,0,2
6,803,1217.65,124,58,3,-1,0,2
5,1360,1520.58,82,56,3,5,0,2
2,1518,2155.95,102,60,3,-1,0,3
7,773,1328.35,147,12,3,-1,0,2
6,1587,1961.52,110,18,3,-1,0,2
5,1740,2092.66,66,53,3,-1,0,2
4,2051,2709.12,160,23,3,-1,0,2
4,963,2089.85,53,7,3,-1,0,2
5,1544,1456.79,83,7,3,-1,0,2
6,1035,2273.68,101,66,3,-1,0,2
4,1086,1532.2,78,78,3,3,0,3
3,952,2511.69,115,67,3,-1,0,2
4,1382,3090.7400000000002,128,9,3,-1,0,2
2,1247,2225.37,122,33,3,-1,0,3
3,1651,3312.25,135,60,3,-1,0,2
2,1128,1833.71,88,40,3,-1,0,3
1,1326,2626.3,127,64,3,-1,0,3
7,1283,3408.06,143,14,3,-1,0,2
6,1982,2043.7199999999998,32,26,3,-1,0,2
6,764,1751.72,42,17,3,4,0,2
6,1021,1454.58,57,37,3,-1,0,2
5,1142,1804.56,99,45,3,5,0,2
5,829,2044.8700000000001,35,7,3,-1,0,2
5,1365,1159.11,31,17,3,-1,0,3
4,1597,2479.16,147,3,3,-1,0,2
7,1106,979.72,28,8,3,-1,0,2
4,1386,1791.56,87,1,3,3,0,2
3,1369,2128.42,125,59,3,-1,0,2
7,1683,2242.36,154,33,3,-1,0,2
6,1848,1981.92,70,11,3,-1,0,2
5,719,2011.88,77,108,3,-1,0,2
5,1269,1638.47,83,59,3,5,0,2
7,1391,2031.78,51,5,3,-1,0,2
5,1031,2118.93,121,24,3,-1,0,2
5,700,1547.3600000000001,156,33,3,-1,0,2
6,922,1836.34,81,16,3,-1,0,2
5,1019,2639.17,92,9,3,-1,0,2
6,1959,1445.01,92,32,3,-1,0,2
3,1401,2375.41,75,131,3,-1,0,2
8,806,1980.56,95,49,3,-1,0,2
4,1128,2883.54,158,24,3,-1,0,2
7,1776,1341.6,9,2,3,-1,0,2
7,1844,3190.55,104,11,3,-1,0,2
4,1477,2634.45,115,64,3,-1,0,2
7,1462,2588.39,124,30,3,-1,0,2
5,782,1747.66,70,5,3,5,0,2
6,743,2198.45,59,16,3,4,0,2
3,1705,2651.46,77,95,3,-1,0,2
8,1688,2209.36,98,18,3,-1,0,2
2,1964,3192.54,32,7,3,-1,0,2
8,1325,2770.94,91,2,3,-1,0,2
5,1316,1786.79,82,53,3,5,0,2
5,1436,2674.48,110,10,3,-1,0,2
4,1365,2593.07,98,28,3,-1,0,2
5,1739,2867.2,144,72,3,-1,0,2
4,1478,2369.55,104,79,3,-1,0,2
6,1575,1838.8500000000001,90,1,3,-1,0,2
2,1431,3251.071,120,217,3,-1,0,2
8,1844,2758.26,118,18,3,-1,0,2
4,1136,1871.81,72,39,3,3,0,2
6,932,2274.14,122,3,3,-1,0,2
5,1772,1334.34,59,29,3,-1,0,3
7,1793,2703.23,61,51,3,-1,0,2
7,1651,2915.15,120,22,3,-1,0,2
3,1628,2720.63,159,10,3,-1,0,2
4,893,2445.91,36,87,3,-1,0,2
3,1515,3222.3,139,59,3,-1,0,2
6,1162,2054.36,36,30,3,-1,0,2
6,691,2073.43,56,10,3,4,0,2
6,760,1905.8400000000001,65,105,3,-1,0,2
6,1358,1789.72,98,11,3,-1,0,2
5,1296,2214.79,64,28,3,5,0,2
5,1941,2048.07,81,42,3,-1,0,2
5,1959,3144.86,66,75,3,-1,0,2
3,1200,1904.05,94,7,3,-1,0,3
5,1674,2879.7000000000003,37,1,3,-1,0,2
5,1682,3099.7200000000003,88,64,3,-1,0,2
8,1645,2618.23,88,8,3,-1,0,2
5,915,2314.65,89,11,3,5,0,2
