,Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Recency
0,1,40,139.12,373
1,1,50,88.88,373
2,1,20,52.5,373
3,1,17,95.95,373
4,1,63,242.85,373
5,1,84,66.6,373
6,1,114,247.5,373
7,1,68,103.4,373
8,1,110,259.14000000000004,373
9,1,152,405.8,373
10,1,40,94.2,373
11,1,132,81.0,373
12,1,78,57.3,373
13,1,17,30.270000000000003,373
14,1,9,13.95,373
15,1,10,31.0,373
16,1,11,34.45,373
17,1,74,247.3,373
18,1,73,155.85,373
19,1,104,254.4,373
20,1,17,147.15,373
21,1,34,68.0,373
22,1,1147,3011.97,373
23,1,21,35.49,373
24,1,30,135.8,373
25,1,13,87.55000000000001,373
26,1,298,306.28,373
27,1,428,202.8,373
28,1,152,282.88,373
29,1,292,550.0,373
30,1,70,234.1,373
31,1,5,10.05,373
32,1,9,20.55,373
33,1,6,38.3,373
34,1,6,24.6,373
35,1,9,21.95,373
36,1,9,16.8,373
37,1,6,19.0,373
38,1,18,34.5,373
39,1,22,72.0,373
40,1,36,45.0,373
41,1,72,75.6,373
42,1,104,97.8,373
43,1,234,427.86,373
44,1,84,109.2,373
45,1,30,41.1,373
46,1,28,61.8,373
47,1,77,63.14,373
48,1,6,13.8,373
49,1,16,18.3,373
50,1,8,15.6,373
51,1,10,11.62,373
52,1,4,7.02,373
53,1,18,30.14,373
54,1,33,39.3,373
55,1,7,27.7,373
56,1,9,10.54,373
57,1,8,15.0,373
58,1,18,22.53,373
59,1,38,88.5,373
60,1,850,435.9,373
61,1,22,16.0,373
62,1,12,40.0,373
63,1,16,44.08,373
64,1,40,75.2,373
65,1,6,22.9,373
66,1,19,22.55,373
67,1,114,256.57,373
68,1,40,34.28,373
69,1,24,77.7,373
70,1,4,24.0,373
71,1,25,33.93,373
72,1,13,17.15,373
73,1,15,26.05,373
74,1,9,14.95,373
75,1,17,22.74,373
76,1,8,18.5,373
77,1,11,41.35,373
78,1,41,101.69,373
79,1,82,184.98,373
80,1,25,21.69,373
81,1,8,18.9,373
82,1,8,30.6,373
83,1,3,19.85,373
84,1,88,66.91,373
85,1,89,83.9,373
86,1,60,54.72,373
87,1,156,46.8,373
88,1,101,188.35,373
89,1,26,34.3,373
90,1,52,60.3,373
91,1,48,86.88,373
92,1,14,119.3,373
93,1,45,131.34,373
94,1,25,20.82,373
95,1,31,22.4,373
96,1,14,30.25,373
97,1,15,41.35,373
98,1,61,98.75,373
99,1,73,114.35,373
100,1,4,25.4,373
101,1,7,12.75,373
102,1,5,11.25,373
103,1,8,87.69999999999999,373
104,1,184,517.28,373
105,1,122,194.16,373
106,1,55,78.22999999999999,373
107,1,3,3.35,373
108,1,5,17.95,373
109,1,18,43.49,373
110,1,5,14.25,373
111,1,21,13.51,373
112,1,69,184.75,372
113,1,20,73.0,372
114,1,178,129.6,372
115,1,156,129.48,372
116,1,72,40.2,372
117,1,54,86.1,372
118,1,42,95.2,372
119,1,9,29.55,372
120,1,60,95.4,372
121,1,222,112.76,372
122,1,23,78.25,372
123,1,18,33.8,372
124,1,56,56.4,372
125,1,55,107.13,372
126,1,36,45.0,372
127,1,9,16.3,372
128,1,40,44.35,372
129,1,30,22.14,372
130,1,32,39.25,372
131,1,20,112.2,372
132,1,7,50.55,372
133,1,18,29.5,372
134,1,83,95.7,372
135,1,49,40.5,372
136,1,103,217.05,372
137,1,61,166.57,372
138,1,7,9.75,372
139,1,6,11.7,372
140,1,5,29.7,372
141,1,77,145.29000000000002,372
142,1,117,578.25,372
143,1,38,39.74,372
144,1,50,30.06,372
145,1,44,48.4,371
146,1,7,8.68,371
147,1,1517,303.0,371
148,1,6,18.9,371
149,1,16,32.8,371
150,1,41,96.85,371
151,1,49,16.869999999999997,371
152,1,12,26.070000000000004,371
153,1,9,28.77,371
154,1,4,16.4,371
155,1,3,15.2,371
156,1,36,51.6,371
157,1,30,44.5,371
158,1,21,48.75,371
159,1,14,15.6,369
160,1,11,33.58,369
161,1,17,56.55,369
162,1,87,96.2,369
163,1,5,7.55,369
164,1,16,202.40000000000003,369
165,1,10,21.2,369
166,1,53,83.35,369
167,1,7,5.49,369
168,1,7,30.67,369
169,1,13,36.85,369
170,1,10,9.8,369
171,1,33,41.28,369
172,1,12,24.4,369
173,1,13,39.46,369
174,1,11,19.0,369
175,1,10,45.7,369
176,1,52,47.190000000000005,369
177,1,18,22.52,369
178,1,12,72.3,369
179,1,5,6.25,369
180,1,49,60.64999999999999,369
181,1,24,134.44,369
182,1,7,97.75,369
183,1,17,42.52,369
184,1,42,79.64,369
185,1,14,14.88,369
186,1,107,108.48,368
187,1,82,89.46000000000001,368
188,1,5,7.35,368
189,1,6,7.7,368
190,1,27,53.900000000000006,368
191,1,3,5.050000000000001,368
192,1,12,14.260000000000002,368
193,1,53,143.85,367
194,1,110,32.2,367
195,1,28,21.3,367
196,1,19,49.35,366
197,1,57,34.61,366
198,1,58,45.6,366
199,1,8,71.0,366
200,1,6,17.83,366
201,1,32,64.0,366
202,1,49,87.49000000000001,366
203,1,38,19.43,366
204,1,21,250.4,366
205,1,40,70.39,365
206,1,59,273.65,365
207,1,15,26.85,365
208,1,9,27.05,365
209,1,57,99.25,364
210,1,26,82.89999999999999,364
211,1,39,122.55,364
212,1,42,30.19,364
213,1,72,118.3,364
214,1,51,27.31,364
215,1,102,151.5,362
216,1,107,184.25,362
217,1,55,116.25,362
218,1,16,86.6,361
219,1,46,135.82,361
220,1,12,55.7,361
221,1,49,177.15,361
222,1,62,325.0,361
223,1,324,196.2,360
224,1,52,88.68,360
225,1,109,89.91,360
226,1,18,44.6,359
227,1,4,31.6,359
228,1,48,100.48,359
229,1,42,62.3,359
230,1,24,54.0,359
231,1,37,43.7,358
232,1,96,162.48,358
233,1,37,78.53999999999999,358
234,1,3,7.45,358
235,1,42,64.56,358
236,1,44,78.1,357
237,1,15,31.45,355
238,1,33,27.16,355
239,1,30,19.55,355
240,1,109,115.65,354
241,1,84,47.88,354
242,1,6,133.79,353
243,1,5,10.15,351
244,1,60,64.13,338
245,1,33,89.7,336
246,1,46,51.3,336
247,1,19,58.1,332
248,1,1307,3374.65,331
249,1,32,23.85,330
250,1,45,25.14,330
251,1,493,1254.15,329
252,1,51,52.8,326
253,1,19,39.75,326
254,1,24,32.5,320
255,1,20,96.1,318
256,1,4,19.2,316
257,1,14,64.7,313
258,1,82,63.32,311
259,1,26,53.34,310
260,1,26,49.65,305
261,1,24,58.5,301
262,1,13,30.46,299
263,1,72,30.24,296
264,1,108,63.72,295
265,1,60,40.68,295
266,1,44,33.120000000000005,295
267,1,22,61.3,292
268,1,10,38.05,292
269,1,84,86.5,291
270,1,6,19.950000000000003,289
271,1,100,65.88000000000001,284
272,1,3,7.23,281
273,1,15,76.05,280
274,1,7,15.15,277
275,1,24,58.8,276
276,1,40,278.79999999999995,275
277,1,16,98.85,270
278,1,166,88.14,264
279,1,24,39.08,264
280,1,129,246.43,257
281,1,3,13.28,253
282,1,42,60.2,243
283,1,62,56.510000000000005,242
284,1,40,62.3,242
285,1,59,105.65,239
286,1,9,23.401,236
287,1,75,129.41,234
288,1,80,68.68,234
289,1,21,144.3,233
290,1,12,17.74,232
291,1,69,48.11,227
292,1,54,162.18,225
293,1,42,56.11,220
294,1,282,413.94000000000005,220
295,1,32,68.5,219
296,1,48,68.42,218
297,1,80,326.65000000000003,215
298,1,23,145.3,215
299,1,26,56.1,213
300,1,9,34.54,212
301,1,14,133.0,212
302,1,16,43.0,212
303,1,34,54.94,212
304,1,1420,1227.2999999999995,211
305,1,34,105.7,211
306,1,23,52.71,210
307,1,130,213.58,208
308,1,19,36.61,207
309,1,25,119.9,199
310,1,53,80.87,191
311,1,49,61.25,190
312,1,17,22.85,187
313,1,71,38.88,185
314,1,53,172.75,184
315,1,22,49.0,184
316,1,21,46.43,184
317,1,46,70.28,183
318,1,21,24.41,179
319,1,7,49.35,179
320,1,6,9.16,179
321,1,42,61.5,178
322,1,39,131.77,178
323,1,33,62.8,178
324,1,41,139.29000000000002,178
325,1,392,618.5899999999999,177
326,1,140,276.52,175
327,1,48,30.0,175
328,1,67,80.16,169
329,1,42,133.46,158
330,1,41,60.52,156
331,1,25,92.23,152
332,1,287,277.97,150
333,1,496,532.3199999999999,150
334,1,47,78.72999999999999,148
335,1,293,1080.85,129
336,1,115,304.65000000000003,127
337,1,73,71.3,126
338,1,151,117.0,121
339,1,240,221.88,119
340,1,242,242.85,110
341,1,12,17.9,109
342,1,644,485.4699999999999,103
343,1,29,35.15,100
344,1,108,42.12,99
345,1,20,96.9,96
346,1,33,79.72999999999999,96
347,1,40,35.14,95
348,1,6,32.47,94
349,1,25,96.96,92
350,1,60,124.8,89
351,1,33,69.03,89
352,1,51,109.29,84
353,1,93,126.85,78
354,1,62,44.3,78
355,1,92,64.12,78
356,1,13,23.16,78
357,1,30,67.26,78
358,1,87,49.03,77
359,1,16,51.6,75
360,1,15,77.77,68
361,1,156,309.12,67
362,1,372,1506.72,67
363,1,564,1428.72,67
364,1,316,1204.36,67
365,1,112,178.10000000000002,66
366,1,111,150.35,65
367,1,3,6.050000000000001,64
368,1,18,105.24,64
369,1,6,41.6,60
370,1,42,99.7,56
371,1,18,63.2,54
372,1,25,62.03,53
373,1,45,469.3999999999999,51
374,1,225,262.6,50
375,1,16,40.18,45
376,1,113,198.05,45
377,1,45,65.85,38
378,1,74,73.45,30
379,1,31,36.03,29
380,1,24,41.8,19
381,1,19,41.13,15
382,1,16,15.04,4
383,1,631,1757.55,18
384,1,197,334.4,310
385,8,536,2506.04,36
386,1,20,89.0,204
387,1,530,1079.4,232
388,1,240,459.4,214
389,3,1591,2811.43,22
390,2,248,1168.06,1
391,3,1165,2662.06,52
392,1,91,189.9,287
393,2,408,552.0,109
394,4,1506,1313.1,7
395,2,174,641.38,291
396,1,173,168.9,4
397,2,591,1887.96,44
398,3,794,1298.04,71
399,1,197,364.6,311
400,1,342,742.9300000000001,25
401,2,178,457.5,10
402,2,944,1628.12,315
403,2,407,852.24,81
404,4,1127,2724.81,21
405,5,808,1845.31,4
406,5,1532,1850.56,184
407,2,126,585.27,28
408,2,354,401.9,337
409,6,1462,2780.66,15
410,1,353,549.84,79
411,1,293,439.66,21
412,4,816,1582.6,72
413,2,1263,2409.9,35
414,1,1394,1635.66,45
415,4,1178,1108.65,119
416,1,11,84.3,303
417,1,94,225.6,323
418,1,96,427.7,49
419,1,857,1710.39,148
420,2,1818,3415.3,22
421,5,1416,1708.12,49
422,5,1409,2888.55,32
423,2,211,693.3299999999999,308
424,3,829,1226.88,74
425,3,286,758.1,66
426,3,300,562.41,217
427,1,407,668.58,112
428,1,345,600.39,63
429,4,484,807.04,15
430,8,1339,1859.31,0
431,2,740,1760.96,162
432,1,496,777.2,78
433,1,258,582.73,194
434,3,533,825.8,21
435,1,117,256.4,43
436,2,394,806.14,84
437,1,211,509.01,99
438,2,1180,2906.85,14
439,1,121,173.55,366
440,1,182,172.06,3
441,1,62,133.4,22
442,1,351,1002.31,57
443,1,190,476.49,243
444,1,243,449.45,44
445,2,128,197.88,156
446,2,185,430.57,16
447,1,473,707.09,134
448,3,1633,3181.04,44
449,2,506,947.4,71
450,2,287,826.88,94
451,2,536,1189.59,18
452,4,776,1344.78,53
453,8,112,1212.05,10
454,2,479,742.1899999999999,17
455,2,366,729.5400000000001,187
456,1,535,723.38,53
457,1,236,680.99,3
458,1,385,527.2,11
459,4,1707,3281.63,28
460,8,1110,2484.98,17
461,3,529,1298.66,9
462,1,105,334.93,336
463,1,260,460.4,38
464,2,192,263.21000000000004,63
465,2,207,433.74,165
