Total_No_Invoice_Generated,Total_No_of_Items,Total_Spend,Types_Prod_Purchased,Recency,cluster,dbscan_cluster,gmm_cluster,kmeans_cluster
1,40,139.12,7,373,2,0,2,0
1,50,88.88,4,373,2,0,2,0
1,20,52.5,3,373,2,0,2,0
1,17,95.95,5,373,2,0,2,0
1,63,242.85,4,373,2,0,2,0
1,84,66.6,3,373,2,0,2,0
1,114,247.5,5,373,2,0,2,0
1,68,103.39999999999999,3,373,2,0,2,0
1,110,259.14000000000004,6,373,2,0,2,0
1,152,405.8,6,373,2,0,2,0
1,40,94.2,4,373,2,0,2,0
1,132,81.0,3,373,2,0,2,0
1,78,57.300000000000004,4,373,2,0,2,0
1,17,30.270000000000003,5,373,2,0,2,0
1,9,13.95,4,373,2,0,2,0
1,10,31.0,7,373,2,0,2,0
1,11,34.45,5,373,2,0,2,0
1,74,247.3,5,373,2,0,2,0
1,73,155.85,5,373,2,0,2,0
1,104,254.4,6,373,2,0,2,0
1,17,147.15,3,373,2,0,2,0
1,34,68.0,4,373,2,0,2,0
1,1147,3011.97,7,373,3,-1,0,0
1,21,35.49,3,373,2,0,2,0
1,30,135.8,4,373,2,0,2,0
1,13,87.55000000000001,4,373,2,0,2,0
1,298,306.28,7,373,2,0,2,0
1,428,202.8,3,373,2,0,2,0
1,152,282.88,4,373,2,0,2,0
1,292,550.0,7,373,2,0,2,0
1,70,234.10000000000002,5,373,2,0,2,0
1,5,10.05,4,373,2,0,2,0
1,9,20.55,7,373,2,0,2,0
1,6,38.3,4,373,2,0,2,0
1,6,24.6,4,373,2,0,2,0
1,9,21.95,5,373,2,0,2,0
1,9,16.8,7,373,2,0,2,0
1,6,19.0,4,373,2,0,2,0
1,18,34.5,6,373,2,0,2,0
1,22,72.0,6,373,2,0,2,0
1,36,45.0,3,373,2,0,2,0
1,72,75.6,6,373,2,0,2,0
1,104,97.80000000000001,6,373,2,0,2,0
1,234,427.86,7,373,2,0,2,0
1,84,109.2,6,373,2,0,2,0
1,30,41.099999999999994,3,373,2,0,2,0
1,28,61.8,4,373,2,0,2,0
1,77,63.14,4,373,2,0,2,0
1,6,13.8,6,373,2,0,2,0
1,16,18.3,5,373,2,0,2,0
1,8,15.6,4,373,2,0,2,0
1,10,11.620000000000001,5,373,2,0,2,0
1,4,7.02,4,373,2,0,2,0
1,18,30.14,7,373,2,0,2,0
1,33,39.3,6,373,2,0,2,0
1,7,27.7,3,373,2,0,2,0
1,9,10.540000000000001,3,373,2,0,2,0
1,8,15.0,3,373,2,0,2,0
1,18,22.53,6,373,2,0,2,0
1,38,88.5,5,373,2,0,2,0
1,850,435.9,4,373,2,-1,0,0
1,22,16.0,3,373,2,0,2,0
1,12,40.0,3,373,2,0,2,0
1,16,44.08,3,373,2,0,2,0
1,40,75.2,4,373,2,0,2,0
1,6,22.9,4,373,2,0,2,0
1,19,22.549999999999997,7,373,2,0,2,0
1,114,256.57,4,373,2,0,2,0
1,40,34.28,5,373,2,0,2,0
1,24,77.7,5,373,2,0,2,0
1,4,24.0,3,373,2,0,2,0
1,25,33.93,4,373,2,0,2,0
1,13,17.15,6,373,2,0,2,0
1,15,26.05,7,373,2,0,2,0
1,9,14.95,7,373,2,0,2,0
1,17,22.74,6,373,2,0,2,0
1,8,18.5,4,373,2,0,2,0
1,11,41.35,4,373,2,0,2,0
1,41,101.69,7,373,2,0,2,0
1,82,184.98,7,373,2,0,2,0
1,25,21.689999999999998,3,373,2,0,2,0
1,8,18.9,5,373,2,0,2,0
1,8,30.6,5,373,2,0,2,0
1,3,19.85,3,373,2,0,2,0
1,88,66.91,6,373,2,0,2,0
1,89,83.9,5,373,2,0,2,0
1,60,54.72,3,373,2,0,2,0
1,156,46.8,4,373,2,0,2,0
1,101,188.35,7,373,2,0,2,0
1,26,34.3,5,373,2,0,2,0
1,52,60.3,5,373,2,0,2,0
1,48,86.88,4,373,2,0,2,0
1,14,119.3,5,373,2,0,2,0
1,45,131.34,5,373,2,0,2,0
1,25,20.82,3,373,2,0,2,0
1,31,22.4,6,373,2,0,2,0
1,14,30.25,6,373,2,0,2,0
1,15,41.35,6,373,2,0,2,0
1,61,98.75,6,373,2,0,2,0
1,73,114.35,7,373,2,0,2,0
1,4,25.4,4,373,2,0,2,0
1,7,12.75,4,373,2,0,2,0
1,5,11.25,4,373,2,0,2,0
1,8,87.69999999999999,6,373,2,0,2,0
1,184,517.28,5,373,2,0,2,0
1,122,194.15999999999997,7,373,2,0,2,0
1,55,78.22999999999999,7,373,2,0,2,0
1,3,3.35,3,373,2,0,2,0
1,5,17.95,4,373,2,0,2,0
1,18,43.49,7,373,2,0,2,0
1,5,14.25,4,373,2,0,2,0
1,21,13.51,4,373,2,0,2,0
1,69,184.75,7,372,2,0,2,0
1,20,73.0,4,372,2,0,2,0
1,178,129.6,6,372,2,0,2,0
1,156,129.48,7,372,2,0,2,0
1,72,40.2,5,372,2,0,2,0
1,54,86.1,5,372,2,0,2,0
1,42,95.19999999999999,6,372,2,0,2,0
1,9,29.549999999999997,5,372,2,0,2,0
1,60,95.39999999999999,7,372,2,0,2,0
1,222,112.75999999999999,7,372,2,0,2,0
